Nombre,Tipo,Fecha inicio,Fecha fin,GPS,Municipio,Precio,Provincia
Musika Asteak 2022: Sonic Free Station,Concierto,20221104,20221104,"43.20752,-2.887839",Arrigorriaga,9 €,Bizkaia
Rubik Magoa: Serendipiak,Actividad Infantil,20221104,20221104,"43.20752,-2.887839",Arrigorriaga,Gratis,Bizkaia
Sexpiertos,Teatro,20221104,20221104,"43.280364,-2.171588",Zarautz,8 €,Gipuzkoa
Golfa,Teatro,20221104,20221104,"43.22048,-2.021122",Andoain,12€,Gipuzkoa
Viva Suecia,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,23 €,Bizkaia
Munduari Itzulia 80 Egunetan,Actividad Infantil,20221104,20221104,"43.193923,-2.589165",Berriz,0,Bizkaia
Festival De Teatro De Santurtzi 2022: Redada Familiar,Teatro,20221104,20221104,"43.328711,-3.031772",Santurtzi,12€,Bizkaia
Leila Josefowicz + John Novacek,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Exposición: Daniel Velez,Exposición,20221025,20221104,"43.3851522724,-1.30308151245",Hasparren,0,Iparralde
33ª Semana De Cine Fantástico Y De Terror De San Sebastián: Guerra De Fanzines 2022,Otro,20221028,20221104,"43.320725,-1.984449",Donostia-San Sebastián,0,Gipuzkoa
Euskadiko Orkestra (Temporada De Abono): Fantasmas,Concierto,20221028,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,10 / 38 €,Araba
Euskadiko Orkestra: Fantasmas,Concierto,20221104,20221104,"43.320725,-1.984449",Donostia-San Sebastián,10 / 38 €,Gipuzkoa
Zero + Begitruk,Concierto,20221104,20221104,"43.136978,-2.073914",Tolosa,8 €,Gipuzkoa
Sex Sua,Teatro,20221104,20221104,"43.136978,-2.073914",Tolosa,Gratis,Gipuzkoa
Adarrots: Concierto Solidario,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,5 €,Bizkaia
Black Is Beltza Ii: Ainhoa,Proyección Audiovisual,20221104,20221104,"43.493343207,-1.4747428894",Bayonne,0,Iparralde
Serrana,Danza,20221104,20221104,"43.378918,-2.983002",Sopela,6 €,Bizkaia
“Voy A Pasármelo Bien”,Teatro,20221104,20221104,"43.256963,-2.923441",Bilbao,16€,Bizkaia
